,epochs,loss,trial,val_loss
107,4.0,156.22002570793228,4,141.83999916277278
108,5.0,152.79324879539354,4,129.14131246863275
109,6.0,150.88494768902393,4,127.6736563323361
110,7.0,149.01981797185132,4,129.38015118515594
111,8.0,147.96634357950987,4,123.21947983006406
112,9.0,146.82002616315873,4,125.05734929868812
113,10.0,145.63939422760836,4,116.31094248093844
114,11.0,145.03110103356406,4,115.0620406564593
115,12.0,144.27764413454508,4,119.8831846999827
116,13.0,143.91436860364072,4,120.17949166117208
117,14.0,142.9945737421282,4,124.26464702432135
118,15.0,142.58579924746437,4,122.95144951297438
119,16.0,142.51526541094032,4,121.11645122654937
120,17.0,141.73948095163817,4,115.09052703810218
121,18.0,141.50745379897114,4,114.21089163807503
122,19.0,141.044003664387,4,133.70169693429804
123,20.0,140.7438686780937,4,115.29404614825444
124,21.0,140.3453277888818,4,112.92418248028324
125,22.0,140.17838596689177,4,115.53392151539767
126,23.0,139.82158268650466,4,120.0131295522054
127,24.0,139.69472139451454,4,112.35960232999467
128,25.0,139.37703991010036,4,112.80341552858286
129,26.0,139.19671861422864,4,117.20495158798089
130,27.0,138.91361437043014,4,118.04230926613981
131,28.0,138.67964361918038,4,115.21777650430418
132,29.0,138.48701199873048,4,114.98513101664791
133,30.0,138.4488950642337,4,109.92349262783348
134,31.0,138.236017843779,4,115.32722549704
135,32.0,138.23391182848582,4,116.2729258998272
136,33.0,138.09091978818063,4,111.97951734001472
137,34.0,137.72274331095048,4,116.46846080729875
138,35.0,137.73719666341617,4,112.92078192106808
139,36.0,137.4581326870428,4,115.73932799791423
140,37.0,137.3720990259889,4,117.12470994434518
141,38.0,137.32094081574783,4,109.2240019442034
142,39.0,137.14151058359286,4,110.19017457335104
143,40.0,136.97184180918353,4,117.52968865591522
144,41.0,136.8612407955751,4,111.69792848544257
145,42.0,136.85712121755506,4,112.05469345806739
146,43.0,136.86460664488047,4,115.88651342458348
147,44.0,136.6691952946568,4,117.72411742951643
148,45.0,136.6038742773494,4,110.2015732531389
149,46.0,136.31416549446595,4,109.79353014185553
